province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url,directory_url
oxfordshire,craft_lodge,8031,Temple Island Lodge,,Henley-on-Thames,"1st Wednesday of February, April, May, November, December, last Wednesday of September",,https://oxfordshirefreemasons.org.uk/where-when-we-meet/,https://onthesquare.co/lodge/temple-island-lodge/
oxfordshire,craft_lodge,8292,Icknield Way Lodge,,Thame,"2nd Saturday of February, March, May, October, November",,https://oxfordshirefreemasons.org.uk/where-when-we-meet/,https://onthesquare.co/lodge/icknield-way-lodge/
oxfordshire,craft_lodge,8501,Gateway Lodge,,Witney,"4th Monday of February, March, April, September, October, November",,https://oxfordshirefreemasons.org.uk/where-when-we-meet/,https://onthesquare.co/lodge/gateway-lodge-2/
oxfordshire,craft_lodge,8585,Clavis Lodge,,Bicester,"2nd Saturday of April, June, October",,https://oxfordshirefreemasons.org.uk/where-when-we-meet/,https://onthesquare.co/lodge/clavis-lodge/
oxfordshire,craft_lodge,8690,Rathcreedan Lodge,,Banbury,"3rd Tuesday of April, May, June, July, August, September",,https://oxfordshirefreemasons.org.uk/where-when-we-meet/,https://onthesquare.co/lodge/rathcreedan-lodge/
oxfordshire,craft_lodge,8696,Upper Thames Lodge,,Henley-on-Thames,"2nd Friday of January, March, May, September, November",,https://oxfordshirefreemasons.org.uk/where-when-we-meet/,https://onthesquare.co/lodge/upper-thames-lodge-2/
oxfordshire,craft_lodge,8926,Aelfric Lodge,,Woodstock,"2nd Thursday of April, May, June, July, September",,https://oxfordshirefreemasons.org.uk/where-when-we-meet/,https://onthesquare.co/lodge/aelfric-lodge/
oxfordshire,craft_lodge,8965,Cadogan Lodge,,Caversham,"2nd Saturday of February, March, April and 1st Saturday in November",,https://oxfordshirefreemasons.org.uk/where-when-we-meet/,https://onthesquare.co/lodge/cadogan-lodge/
oxfordshire,craft_lodge,9162,The Oxfordshire Lodge of Service and Honour,,Woodstock,"3rd Saturday of March, 2nd Monday of July, last Saturday of November",,https://oxfordshirefreemasons.org.uk/where-when-we-meet/,https://onthesquare.co/lodge/the-oxfordshire-lodge-of-service-and-honour/
oxfordshire,craft_lodge,9233,St Edburg's Lodge,,Bicester,"3rd Friday of April, May, June, July, September",,https://oxfordshirefreemasons.org.uk/where-when-we-meet/,https://onthesquare.co/lodge/st-edburgs-lodge/
oxfordshire,craft_lodge,9359,Witta's Island Lodge,,Witney,"3rd Thursday of April, May, 3rd Friday of June, July and August",,https://oxfordshirefreemasons.org.uk/where-when-we-meet/,https://onthesquare.co/lodge/wittas-island-lodge/
oxfordshire,craft_lodge,9509,Round Table Lodge of Oxfordshire,,Bicester,"3rd Monday of January, March, May, September, November",,https://oxfordshirefreemasons.org.uk/where-when-we-meet/,https://onthesquare.co/lodge/round-table-lodge-of-oxfordshire/
oxfordshire,craft_lodge,9607,The Redman-Brown Lodge,,Banbury,"2nd Wednesday of October, 4th Tuesday of February, April, May",,https://oxfordshirefreemasons.org.uk/where-when-we-meet/,https://onthesquare.co/lodge/the-redman-brown-lodge/
oxfordshire,craft_lodge,9697,Round Table Thames Valley Lodge,,Henley-on-Thames,"3rd Thursday of January , March, May, September, November",,https://oxfordshirefreemasons.org.uk/where-when-we-meet/,https://onthesquare.co/lodge/round-table-thames-valley-lodge/
oxfordshire,craft_lodge,9738,Exemplo Ducemus Lodge,,Bicester,"Last Saturday of January, 4th Saturday of March, June, September",,https://oxfordshirefreemasons.org.uk/where-when-we-meet/,https://onthesquare.co/lodge/exemplo-ducemus-lodge/
oxfordshire,craft_lodge,9974,Ruck and Maul Lodge,,Caversham,"2nd Staurday of June, 2nd Friday of July & the 2nd Thu of April & September",,https://oxfordshirefreemasons.org.uk/where-when-we-meet/,https://onthesquare.co/lodge/ruck-and-maul-lodge/
oxfordshire,craft_lodge,10003,Sir William Morris Lodge,,Oxford,"3rd Saturday of May, and the 1st Saturday of July and September.",,https://oxfordshirefreemasons.org.uk/where-when-we-meet/,https://onthesquare.co/lodge/sir-william-morris-lodge/
