province_code,slug,name,kind,address_line_1,address_line_2,town,county,postcode,country,telephone,email,website_url,source_url,ugle_url
durham,,Queen Street Masonic Hall,hall,Queen Street East,,Sunderland,Tyne and Wear,SR1 2HT,England,,,,https://durhamfreemasons.org/venues/queen-street-masonic-hall/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-durham-freemasons-hall-queen-street-east
durham,,Ryton Masonic Hall,hall,Blackhouse Lane,,Ryton,Tyne and Wear,NE40 3AE,England,,,,https://durhamfreemasons.org/venues/ryton-masonic-hall/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-durham-masonic-hall-blackhouse-lane
durham,,Seaham Masonic Hall,hall,North Road,,Seaham,County Durham,SR7 7AA,England,,,,https://durhamfreemasons.org/venues/seaham-masonic-hall/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-durham-masonic-temple-north-road
durham,,Shildon Masonic Hall,hall,Middleton Road,,Shildon,County Durham,DL4 1NN,England,,,,https://durhamfreemasons.org/venues/shildon-masonic-hall/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-durham-masonic-hall-middleton-road
durham,,South Shields Masonic Hall,hall,Freemasons Hall,Ingham Street,South Shields,,NE33 2DQ,England,,,,https://durhamfreemasons.org/venues/south-shields-masonic-hall/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-durham-freemasons-hall-ingham-street
durham,,Spennymoor Masonic Hall,hall,Dundas Street,,Spennymoor,County Durham,DL16 6AS,England,,,,https://durhamfreemasons.org/venues/spennymoor-masonic-hall/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-durham-masonic-hall-dundas-street
durham,,St Helens Masonic Hall,hall,Regent Street,,Hartlepool,,TS24 0QN,England,,,,https://durhamfreemasons.org/venues/st-helens-masonic-hall/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-durham-masonic-hall-regent-street
durham,,Staindrop Masonic Hall,hall,North Green,,Staindrop,County Durham,DL2 3JP,England,,,,https://durhamfreemasons.org/venues/staindrop-masonic-hall/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-durham-masonic-hall-north-green
durham,,Stanhope Masonic Hall,hall,Greenbank,Front Street,Stanhope,County Durham,DL13 2XF,England,,,,https://durhamfreemasons.org/venues/stanhope-masonic-hall/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-durham-masonic-hall-greenbank-front-street
durham,,Stanley Masonic Hall,hall,Scott Street,,Stanley,County Durham,DH9 8AD,England,,,,https://durhamfreemasons.org/venues/stanley-masonic-hall/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-durham-masonic-hall-scott-street
durham,,Stockton-on-Tees Masonic Hall,hall,Wellington Street,,Stockton-on-Tees,,TS18 1RD,England,,,,https://durhamfreemasons.org/venues/stockton-on-tees-masonic-hall/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-durham-freemasons-hall-wellington-street
durham,,Tow Law Masonic Hall,hall,Masonic Hall,Bridge Street,Tow Law,County Durham,DL13 4LE,England,,,,https://durhamfreemasons.org/venues/tow-law-masonic-hall/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-durham-masonic-hall-bridge-street
durham,,Wearside Masonic Hall,hall,Burdon Road,,Sunderland,Tyne and Wear,SR2 7DX,England,,,,https://durhamfreemasons.org/venues/wearside-masonic-hall/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-durham-wearside-masonic-temple-burdon-road
durham,,Willington Masonic Hall,hall,"72, 73 and 74 High Street",,Willington,County Durham,DL15 0PF,England,,,,https://durhamfreemasons.org/venues/willington-masonic-hall/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-durham-masonic-hall-south-street
durham,,Wolsingham Masonic Hall,hall,Freemason Hall,Church Lane,Wolsingham,County Durham,DL13 3AN,England,,,,https://durhamfreemasons.org/venues/wolsingham-masonic-hall/,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-durham-masonic-hall-church-lane
