province_code,slug,name,kind,address_line_1,address_line_2,town,county,postcode,country,telephone,email,website_url,source_url,ugle_url
herefordshire,,Bromyard Masonic Hall,hall,29 Broad Street,,Bromyard,,HR7 4BT,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-herefordshire-masonic-hall-29-broad-street,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-herefordshire-masonic-hall-29-broad-street
herefordshire,,Colwall Park Hotel,hotel,Colwall Park Hotel,Walwyn Road,Colwall,,WR13 6QG,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-herefordshire-colwall-park-hotel-walwyn-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-herefordshire-colwall-park-hotel-walwyn-road
herefordshire,,Hay-on-Wye Masonic Hall,hall,Brecon Road,,Hay-on-Wye,,HR3 5DZ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-herefordshire-masonic-hall-brecon-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-herefordshire-masonic-hall-brecon-road
herefordshire,,Hereford Masonic Hall,hall,3 Kyrle Street,,Hereford,,HR1 2EU,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-herefordshire-masonic-hall-3-kyrle-street,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-herefordshire-masonic-hall-3-kyrle-street
herefordshire,,Kington Masonic Hall,hall,26 Headbrook,,Kington,,HR5 3DY,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-herefordshire-masonic-hall-26-headbrook,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-herefordshire-masonic-hall-26-headbrook
herefordshire,,Leominster Masonic Centre,hall,Leominster Masonic Centre,South Street,Leominster,,HR6 8JQ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-herefordshire-leominster-masonic-centre-south-street,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-herefordshire-leominster-masonic-centre-south-street
herefordshire,,"Ross Masonic Hall, Herefordshire",hall,Ross Masonic Hall,Edde Cross Street,Herefordshire,,HR9 7BZ,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-herefordshire-ross-masonic-hall-edde-cross-street,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-herefordshire-ross-masonic-hall-edde-cross-street
herefordshire,,Ross-on-Wye Masonic Hall,hall,Wilton Road,,Ross-on-Wye,,HR9 5JA,England,,,,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-herefordshire-masonic-hall-wilton-road,https://www.ugle.org.uk/become-freemason/join-freemasonry/register-your-interest/provincial-grand-lodge-herefordshire-masonic-hall-wilton-road
